Epoch,train_loss,train_acc,val_loss,val_acc
0,1.2509864672370579,51.053113553113555,1.1486304799715679,64.96350364963503
1,1.1654436571010645,61.26373626373626,1.0582048330042098,85.03649635036497
2,1.1129651691602624,68.22344322344323,0.9950958689053854,85.03649635036497
3,1.0950188489927761,70.0091575091575,0.9502883818414476,86.31386861313868
4,1.0795791425566743,69.96336996336996,0.9458160599072775,86.4963503649635
5,1.0505821307500203,74.58791208791209,0.9562523232565986,87.5912408759124
6,1.0508609552314316,73.12271062271063,0.9345084925492605,87.5912408759124
7,1.047600361748018,72.43589743589743,0.9278571506341299,87.4087591240876
8,1.0419999542443648,72.20695970695971,0.9077040354410807,87.4087591240876
9,1.0363515148992124,72.98534798534799,0.9253182477421231,87.5912408759124
10,1.0298397722451582,74.22161172161172,0.9424373805522919,88.32116788321167
11,1.0287889095320217,72.89377289377289,0.9092441896597544,89.5985401459854
12,1.0262395333552705,72.71062271062272,0.9040155510107676,86.86131386861314
13,1.0157294713932534,75.13736263736264,0.902057945728302,89.41605839416059
14,1.022910530152528,73.21428571428571,0.8812796539730496,88.68613138686132
